,mean_rated,height,weight,club,leagueCountry,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,YC_IAT,YR_IAT,RC_IAT,YC_EXP,YR_EXP,RC_EXP
689,0.0,179.0,76.0,54,0,422.0,189.0,108.0,125.0,44.0,49.0,0.0,1.0,3.97241120143,0.015556651606,0.0,4.79689287917,0.0169735982039,0.0
690,0.0,184.0,81.0,30,2,359.0,166.0,82.0,111.0,27.0,122.0,9.0,1.0,14.476420038,0.0841570406607,0.841886426836,16.2452925623,0.0839917231001,1.04387211004
691,0.0,173.0,64.0,94,0,363.0,140.0,81.0,142.0,16.0,34.0,1.0,0.0,3.37286602456,0.0,0.429987409976,4.66258104168,0.0,0.668965517241
692,1.0,192.0,90.0,12,2,359.0,215.0,70.0,74.0,7.0,66.0,2.0,5.0,6.69891632278,0.298115009922,0.367747064838,8.42291471239,0.33102495781,0.399590775283
693,0.0,177.0,70.0,70,1,396.0,173.0,112.0,111.0,31.0,50.0,0.0,1.0,5.1024309253,0.0836709739611,0.0,5.19267816315,0.0840252407838,0.0
694,0.0,180.0,71.0,39,0,247.0,98.0,54.0,95.0,21.0,24.0,0.0,2.0,2.12537449163,0.196013810236,0.0,2.31895999007,0.213867337369,0.0
695,1.0,186.0,72.0,43,1,94.0,36.0,18.0,40.0,1.0,12.0,1.0,0.0,1.70581904266,0.0,0.120906584034,2.11110096067,0.0,0.189595145728
696,0.0,168.0,65.0,40,0,37.0,16.0,12.0,9.0,10.0,1.0,0.0,1.0,0.163344841863,0.326689683727,0.0,0.178222781141,0.356445562282,0.0
697,0.0,182.0,70.0,51,3,216.0,75.0,60.0,81.0,0.0,63.0,2.0,2.0,4.65984779883,0.0746900526724,0.0812952954258,6.96754479559,0.118790803293,0.129296112427
698,0.0,172.0,64.0,74,3,457.0,252.0,74.0,131.0,41.0,50.0,0.0,1.0,2.5223444788,0.326689683727,0.0,3.69689634203,0.356445562282,0.0
699,0.0,181.0,78.0,68,3,153.0,54.0,52.0,47.0,4.0,24.0,0.0,3.0,3.09272144029,0.215771263276,0.0,4.91881918819,0.343173431734,0.0
700,0.0,182.0,78.0,22,3,235.0,80.0,69.0,86.0,17.0,63.0,1.0,0.0,5.78090845773,0.0,0.0616489323645,9.19424655471,0.0,0.0980495519241
701,0.0,175.0,70.0,59,0,411.0,243.0,81.0,87.0,55.0,12.0,1.0,0.0,1.01224635025,0.0,0.334683895844,1.08676312275,0.0,0.336100963135
702,1.0,180.0,74.0,56,1,333.0,142.0,95.0,96.0,65.0,42.0,0.0,0.0,4.65586256528,0.0,0.0,7.52480172873,0.0,0.0
703,0.0,167.0,70.0,19,3,103.0,52.0,27.0,24.0,17.0,12.0,0.0,0.0,1.27040835623,0.0,0.0,2.02052112358,0.0,0.0
704,0.0,172.0,70.0,86,3,299.0,154.0,72.0,73.0,6.0,75.0,2.0,1.0,10.0743028644,0.0566861543068,0.119040924044,16.6593807871,0.112909392124,0.237109723461
705,0.0,182.0,77.0,60,3,66.0,22.0,12.0,32.0,0.0,10.0,0.0,0.0,1.89909596647,0.0,0.0,2.27164860127,0.0,0.0
706,0.0,180.0,76.0,51,3,552.0,245.0,149.0,158.0,74.0,41.0,2.0,3.0,2.79623017894,0.477766921594,0.0592778195813,4.37276203478,0.675488923432,0.0942784153116
707,0.0,168.0,62.0,44,0,233.0,113.0,57.0,63.0,11.0,25.0,1.0,0.0,3.54094100254,0.0,0.108896561242,5.0398815443,0.0,0.118815187427
708,0.0,173.0,64.0,44,0,588.0,298.0,144.0,146.0,76.0,74.0,0.0,1.0,4.77812649657,0.0272241403106,0.0,5.78790443646,0.0297037968568,0.0
709,0.0,191.0,80.0,47,0,350.0,195.0,74.0,81.0,0.0,10.0,0.0,0.0,0.668932791871,0.0,0.0,0.701429630623,0.0,0.0
710,0.0,195.0,85.0,10,3,41.0,22.0,4.0,15.0,0.0,1.0,0.0,0.0,0.326689683727,0.0,0.0,0.356445562282,0.0,0.0
711,1.0,178.0,71.0,63,3,130.0,58.0,28.0,44.0,25.0,16.0,1.0,0.0,3.71543068116,0.0,0.123297864729,5.10255501193,0.0,0.196099103848
712,1.0,193.0,89.0,30,2,226.0,114.0,44.0,68.0,26.0,23.0,1.0,1.0,2.54207283474,0.326689683727,0.336628162643,3.97463674809,0.356445562282,0.3359668924
